role,ambassador_id,name,phone,branch,group,leader_name,achieved_amount,active_boxes,daily_target_boxes,daily_target_amount,today_opened_boxes,today_amount,rank_on_ambassadors,rank_on_branch,rank_on_ambassadors_of_branch,coupon_code,coupon_unlock_rule,share_url,updated_at
ambassador,12837,محمد بن خالد,0510000000,مجمع أسامة بن زيد,مجموعة 1,علي المذن,207581,6,10,2000,7,300,1,1,1,UTQ-12837,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12837,2026-10-12
ambassador,12838,سليمان بن حمود,0510000001,مجمع عمر بن الخطاب,مجموعة 2,خالد بن ناصر,16955,9,10,2000,1,1800,2,2,2,UTQ-12838,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12838,2026-10-12
ambassador,12839,فهد بن علي,0510000002,مجمع أبي بن كعب,مجموعة 3,عبدالله بن صالح,80696,4,10,2000,2,300,3,3,3,UTQ-12839,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12839,2026-10-12
ambassador,12840,ناصر بن عبدالله,0510000003,مجمع عثمان بن عفان,مجموعة 4,تركي بن فهد,79421,6,10,2000,7,1800,4,4,4,UTQ-12840,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12840,2026-10-12
ambassador,12841,عبدالعزيز بن محمد,0510000004,مجمع سعد بن معاذ,مجموعة 1,سلمان بن حمود,127388,11,10,2000,10,0,5,5,5,UTQ-12841,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12841,2026-10-12
ambassador,12842,تركي بن سعد,0510000005,مجمع أسامة بن زيد,مجموعة 2,خالد بن ناصر,10179,4,10,2000,2,0,6,1,6,UTQ-12842,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12842,2026-10-12
ambassador,12843,أحمد بن فيصل,0510000006,مجمع عمر بن الخطاب,مجموعة 3,عبدالله بن صالح,127289,4,10,2000,4,500,7,2,7,UTQ-12843,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12843,2026-10-12
ambassador,12844,سعود بن راشد,0510000007,مجمع أبي بن كعب,مجموعة 4,تركي بن فهد,81255,4,10,2000,10,1200,8,3,8,UTQ-12844,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12844,2026-10-12
ambassador,12845,صالح بن بدر,0510000008,مجمع عثمان بن عفان,مجموعة 1,سلمان بن حمود,13340,4,10,2000,7,800,9,4,1,UTQ-12845,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12845,2026-10-12
ambassador,12846,عبدالرحمن بن يوسف,0510000009,مجمع سعد بن معاذ,مجموعة 2,خالد بن ناصر,20936,9,10,2000,3,500,10,5,2,UTQ-12846,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12846,2026-10-12
ambassador,12847,خالد بن حمد,0510000010,مجمع أسامة بن زيد,مجموعة 3,عبدالله بن صالح,17957,15,10,2000,6,1800,11,1,3,UTQ-12847,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12847,2026-10-12
ambassador,12848,ماجد بن عبدالعزيز,0510000011,مجمع عمر بن الخطاب,مجموعة 4,تركي بن فهد,58235,7,10,2000,10,2400,12,2,4,UTQ-12848,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12848,2026-10-12
ambassador,12849,بدر بن فهد,0510000012,مجمع أبي بن كعب,مجموعة 1,سلمان بن حمود,125882,12,10,2000,4,2000,13,3,5,UTQ-12849,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12849,2026-10-12
ambassador,12850,علي بن ناصر,0510000013,مجمع عثمان بن عفان,مجموعة 2,خالد بن ناصر,14137,9,10,2000,5,2400,14,4,6,UTQ-12850,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12850,2026-10-12
ambassador,12851,يوسف بن صالح,0510000014,مجمع سعد بن معاذ,مجموعة 3,عبدالله بن صالح,16108,9,10,2000,0,300,15,5,7,UTQ-12851,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12851,2026-10-12
ambassador,12852,راكان بن محمد,0510000015,مجمع أسامة بن زيد,مجموعة 4,تركي بن فهد,19905,12,10,2000,6,2000,16,1,8,UTQ-12852,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12852,2026-10-12
ambassador,12853,وليد بن ناصر,0510000016,مجمع عمر بن الخطاب,مجموعة 1,سلمان بن حمود,128799,12,10,2000,6,800,17,2,1,UTQ-12853,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12853,2026-10-12
ambassador,12854,حمزة بن خالد,0510000017,مجمع أبي بن كعب,مجموعة 2,خالد بن ناصر,82451,11,10,2000,4,300,18,3,2,UTQ-12854,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12854,2026-10-12
ambassador,12855,محمود بن صالح,0510000018,مجمع عثمان بن عفان,مجموعة 3,عبدالله بن صالح,125394,10,10,2000,3,1800,19,4,3,UTQ-12855,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12855,2026-10-12
ambassador,12856,سعيد بن عبدالله,0510000019,مجمع سعد بن معاذ,مجموعة 4,تركي بن فهد,126112,9,10,2000,7,500,20,5,4,UTQ-12856,opened_boxes>=10,https://YOUR-NETLIFY-DOMAIN.netlify.app/ambassador.html?id=12856,2026-10-12
